year,state,type_of_crime,is_high_impact,total
2015,Aguascalientes,Otros Delitos Contra el Patrimonio,0,13735
2015,Aguascalientes,Otros Delitos,0,7135
2015,Aguascalientes,Robo con violencia,1,838
2015,Aguascalientes,Narcomenudeo,1,614
2015,Aguascalientes,Violencia familiar,1,481
2015,Aguascalientes,Homicidio,1,211
2015,Aguascalientes,Delitos Sexuales,0,154
2015,Aguascalientes,Extorsión,1,39
2015,Aguascalientes,Secuestro,1,5
2015,Aguascalientes,Feminicidio,1,0
2015,Baja California,Otros Delitos Contra el Patrimonio,0,55364
2015,Baja California,Otros Delitos,0,42534
2015,Baja California,Robo con violencia,1,9250
2015,Baja California,Violencia familiar,1,8892
2015,Baja California,Delitos Sexuales,0,2443
2015,Baja California,Homicidio,1,1219
2015,Baja California,Extorsión,1,221
2015,Baja California,Secuestro,1,11
2015,Baja California,Feminicidio,1,10
2015,Baja California,Narcomenudeo,1,0
2015,Baja California Sur,Otros Delitos Contra el Patrimonio,0,11561
2015,Baja California Sur,Otros Delitos,0,6365
2015,Baja California Sur,Violencia familiar,1,1691
2015,Baja California Sur,Robo con violencia,1,698
2015,Baja California Sur,Narcomenudeo,1,604
2015,Baja California Sur,Delitos Sexuales,0,246
2015,Baja California Sur,Homicidio,1,201
2015,Baja California Sur,Extorsión,1,49
2015,Baja California Sur,Feminicidio,1,0
2015,Baja California Sur,Secuestro,1,0
2015,Campeche,Otros Delitos Contra el Patrimonio,0,963
2015,Campeche,Otros Delitos,0,412
2015,Campeche,Robo con violencia,1,185
2015,Campeche,Homicidio,1,118
2015,Campeche,Delitos Sexuales,0,88
2015,Campeche,Narcomenudeo,1,58
2015,Campeche,Extorsión,1,34
2015,Campeche,Violencia familiar,1,18
2015,Campeche,Secuestro,1,6
2015,Campeche,Feminicidio,1,4
2015,Chiapas,Otros Delitos,0,6774
2015,Chiapas,Robo con violencia,1,5767
2015,Chiapas,Otros Delitos Contra el Patrimonio,0,4259
2015,Chiapas,Homicidio,1,1552
2015,Chiapas,Violencia familiar,1,1251
2015,Chiapas,Delitos Sexuales,0,1028
2015,Chiapas,Narcomenudeo,1,724
2015,Chiapas,Extorsión,1,217
2015,Chiapas,Feminicidio,1,36
2015,Chiapas,Secuestro,1,10
2015,Chihuahua,Otros Delitos Contra el Patrimonio,0,24978
2015,Chihuahua,Otros Delitos,0,15283
2015,Chihuahua,Violencia familiar,1,12273
2015,Chihuahua,Narcomenudeo,1,3064
2015,Chihuahua,Robo con violencia,1,2241
2015,Chihuahua,Delitos Sexuales,0,2138
2015,Chihuahua,Homicidio,1,1286
2015,Chihuahua,Extorsión,1,11
2015,Chihuahua,Secuestro,1,6
2015,Chihuahua,Feminicidio,1,0
2015,Ciudad de México,Otros Delitos Contra el Patrimonio,0,85512
2015,Ciudad de México,Otros Delitos,0,38129
2015,Ciudad de México,Robo con violencia,1,23710
2015,Ciudad de México,Violencia familiar,1,16103
2015,Ciudad de México,Delitos Sexuales,0,2390
2015,Ciudad de México,Homicidio,1,1585
2015,Ciudad de México,Narcomenudeo,1,1522
2015,Ciudad de México,Extorsión,1,639
2015,Ciudad de México,Feminicidio,1,56
2015,Ciudad de México,Secuestro,1,55
2015,Coahuila de Zaragoza,Otros Delitos Contra el Patrimonio,0,22667
2015,Coahuila de Zaragoza,Otros Delitos,0,16100
2015,Coahuila de Zaragoza,Narcomenudeo,1,2331
