year,state,type_of_crime,is_high_impact,total,total_population,crime_per_100k
2015,Aguascalientes,Theft with violence,1,838,1425607,58.78197848355122
2015,Aguascalientes,Drug dealing,1,614,1425607,43.06937325644445
2015,Aguascalientes,Domestic violence,1,481,1425607,33.7400139028498
2015,Aguascalientes,Homicide,1,211,1425607,14.800712959462182
2015,Aguascalientes,Sexual crimes,1,154,1425607,10.802416093635903
2015,Aguascalientes,Extortion,1,39,1425607,2.7356768029337677
2015,Aguascalientes,Kidnapping,1,5,1425607,0.35072779524791897
2015,Aguascalientes,Feminicide,1,0,1425607,0.0
2015,Baja California,Theft with violence,1,9250,3769020,245.42188685653036
2015,Baja California,Domestic violence,1,8892,3769020,235.92339653278572
2015,Baja California,Sexual crimes,1,2443,3769020,64.8179102260004
2015,Baja California,Homicide,1,1219,3769020,32.34262487330924
2015,Baja California,Extortion,1,221,3769020,5.863593188680347
2015,Baja California,Kidnapping,1,11,3769020,0.29185305464019823
2015,Baja California,Feminicide,1,10,3769020,0.2653209587638166
2015,Baja California,Drug dealing,1,0,3769020,0.0
2015,Baja California Sur,Domestic violence,1,1691,798447,211.78612982452185
2015,Baja California Sur,Theft with violence,1,698,798447,87.41970349941825
2015,Baja California Sur,Drug dealing,1,604,798447,75.64684944648799
2015,Baja California Sur,Sexual crimes,1,246,798447,30.80980954277491
2015,Baja California Sur,Homicide,1,201,798447,25.17386877275511
2015,Baja California Sur,Extortion,1,49,798447,6.1369132829104505
2015,Baja California Sur,Feminicide,1,0,798447,0.0
2015,Baja California Sur,Kidnapping,1,0,798447,0.0
2015,Campeche,Theft with violence,1,185,928363,19.927549891583357
2015,Campeche,Homicide,1,118,928363,12.710545336253167
2015,Campeche,Sexual crimes,1,88,928363,9.47905075923965
2015,Campeche,Drug dealing,1,58,928363,6.247556182226133
2015,Campeche,Extortion,1,34,928363,3.66236052061532
2015,Campeche,Domestic violence,1,18,928363,1.9388967462081104
2015,Campeche,Kidnapping,1,6,928363,0.6462989154027035
2015,Campeche,Feminicide,1,4,928363,0.4308659436018023
2015,Chiapas,Theft with violence,1,5767,5543828,104.0255938676308
2015,Chiapas,Homicide,1,1552,5543828,27.99509652896879
2015,Chiapas,Domestic violence,1,1251,5543828,22.565635153182964
2015,Chiapas,Sexual crimes,1,1028,5543828,18.54314383490974
2015,Chiapas,Drug dealing,1,724,5543828,13.059568226142659
2015,Chiapas,Extortion,1,217,5543828,3.9142628523107135
2015,Chiapas,Feminicide,1,36,5543828,0.6493707957750493
2015,Chiapas,Kidnapping,1,10,5543828,0.18038077660418037
2015,Chihuahua,Domestic violence,1,12273,3741869,327.9911723259152
2015,Chihuahua,Drug dealing,1,3064,3741869,81.88421347727567
2015,Chihuahua,Theft with violence,1,2241,3741869,59.889857180996984
2015,Chihuahua,Sexual crimes,1,2138,3741869,57.137222067367944
2015,Chihuahua,Homicide,1,1286,3741869,34.36785200123254
2015,Chihuahua,Extortion,1,11,3741869,0.29397074029048054
2015,Chihuahua,Kidnapping,1,6,3741869,0.16034767652208026
2015,Chihuahua,Feminicide,1,0,3741869,0.0
2015,Ciudad de México,Theft with violence,1,23710,9209944,257.4391331803972
2015,Ciudad de México,Domestic violence,1,16103,9209944,174.84362554213143
2015,Ciudad de México,Sexual crimes,1,2390,9209944,25.95021207512228
2015,Ciudad de México,Homicide,1,1585,9209944,17.20965947241373
2015,Ciudad de México,Drug dealing,1,1522,9209944,16.525616225245233
2015,Ciudad de México,Extortion,1,639,9209944,6.9381529355661655
2015,Ciudad de México,Feminicide,1,56,9209944,0.6080384419275513
2015,Ciudad de México,Kidnapping,1,55,9209944,0.5971806126074165
2015,Coahuila de Zaragoza,Drug dealing,1,2331,3146771,74.07593371109623
2015,Coahuila de Zaragoza,Theft with violence,1,2221,3146771,70.58028690362279
2015,Coahuila de Zaragoza,Domestic violence,1,2154,3146771,68.45112021179806
2015,Coahuila de Zaragoza,Homicide,1,535,3146771,17.001554927257178
2015,Coahuila de Zaragoza,Sexual crimes,1,484,3146771,15.38084595288313
2015,Coahuila de Zaragoza,Extortion,1,36,3146771,1.1440298642640345
2015,Coahuila de Zaragoza,Kidnapping,1,25,3146771,0.7944651835166906
2015,Coahuila de Zaragoza,Feminicide,1,16,3146771,0.5084577174506819
2015,Colima,Domestic violence,1,549,731391,75.06244949691752
2015,Colima,Drug dealing,1,493,731391,67.4058061966855
2015,Colima,Theft with violence,1,418,731391,57.151373205303315
2015,Colima,Homicide,1,222,731391,30.353121654491236
2015,Colima,Sexual crimes,1,50,731391,6.836288660921449
2015,Colima,Extortion,1,14,731391,1.914160825058006
2015,Colima,Feminicide,1,5,731391,0.683628866092145
2015,Colima,Kidnapping,1,5,731391,0.683628866092145
2015,Durango,Domestic violence,1,3521,1832650,192.12615611273293
2015,Durango,Theft with violence,1,1890,1832650,103.12934821160614
2015,Durango,Homicide,1,494,1832650,26.955501596049437
2015,Durango,Sexual crimes,1,390,1832650,21.28065915477587
2015,Durango,Drug dealing,1,314,1832650,17.133658909229805
2015,Durango,Extortion,1,62,1832650,3.3830791476823183
2015,Durango,Kidnapping,1,6,1832650,0.3273947562273211
2015,Durango,Feminicide,1,2,1832650,0.10913158540910704
2015,Guanajuato,Domestic violence,1,10298,6166934,166.98735546707653
2015,Guanajuato,Theft with violence,1,6549,6166934,106.19539628606371
2015,Guanajuato,Drug dealing,1,3060,6166934,49.61947055051992
2015,Guanajuato,Homicide,1,2398,6166934,38.88480077782574
2015,Guanajuato,Sexual crimes,1,1938,6166934,31.425664681995947
2015,Guanajuato,Feminicide,1,16,6166934,0.2594482120288623
2015,Guanajuato,Extortion,1,8,6166934,0.12972410601443116
2015,Guanajuato,Kidnapping,1,8,6166934,0.12972410601443116
2015,Guerrero,Theft with violence,1,3383,3540685,95.54648323700074
2015,Guerrero,Homicide,1,2721,3540685,76.84953617732162
2015,Guerrero,Domestic violence,1,2022,3540685,57.10759358711661
2015,Guerrero,Sexual crimes,1,577,3540685,16.29628165171429
2015,Guerrero,Drug dealing,1,349,3540685,9.856849733879178
2015,Guerrero,Extortion,1,144,3540685,4.0670096323169105
2015,Guerrero,Kidnapping,1,81,3540685,2.287692918178262
2015,Guerrero,Feminicide,1,1,3540685,0.028243122446645213
2015,Hidalgo,Domestic violence,1,2294,3082841,74.41188176749952
2015,Hidalgo,Theft with violence,1,1390,3082841,45.08828058274818
2015,Hidalgo,Homicide,1,651,3082841,21.116885366452568
2015,Hidalgo,Sexual crimes,1,630,3082841,20.43569551592184
2015,Hidalgo,Drug dealing,1,111,3082841,3.6005749242338476
2015,Hidalgo,Extortion,1,42,3082841,1.362379701061456
2015,Hidalgo,Kidnapping,1,19,3082841,0.6163146266706586
2015,Hidalgo,Feminicide,1,0,3082841,0.0
2015,Jalisco,Domestic violence,1,8543,8348151,102.33403780070581
2015,Jalisco,Theft with violence,1,6376,8348151,76.3761939619923
2015,Jalisco,Drug dealing,1,5045,8348151,60.432543685422075
2015,Jalisco,Sexual crimes,1,2099,8348151,25.143292209256874
2015,Jalisco,Homicide,1,1736,8348151,20.79502395201045
2015,Jalisco,Extortion,1,831,8348151,9.954300059977353
2015,Jalisco,Feminicide,1,62,8348151,0.7426794268575161
2015,Jalisco,Kidnapping,1,20,8348151,0.2395740086637149
2015,Michoacán de Ocampo,Theft with violence,1,4207,4748846,88.58994374633332
2015,Michoacán de Ocampo,Homicide,1,2041,4748846,42.97886265421115
2015,Michoacán de Ocampo,Drug dealing,1,1136,4748846,23.92160116373536
2015,Michoacán de Ocampo,Domestic violence,1,921,4748846,19.3941854505284
2015,Michoacán de Ocampo,Sexual crimes,1,629,4748846,13.245323179568256
2015,Michoacán de Ocampo,Extortion,1,43,4748846,0.9054831426413912
2015,Michoacán de Ocampo,Kidnapping,1,31,4748846,0.6527901726019332
2015,Michoacán de Ocampo,Feminicide,1,12,4748846,0.252692970039458
