Tipo.de.delito,total_crimes
Robo,6664363
Violencia familiar,2148440
Lesiones,2063280
Otros delitos del Fuero Común,1857421
Daño a la propiedad,1338923
Amenazas,1065953
Fraude,825415
Narcomenudeo,664202
Homicidio,412741
Despojo,273150
Abuso de confianza,265480
Incumplimiento de obligaciones de asistencia familiar,243104
Abuso sexual,239468
Otros delitos que atentan contra la libertad personal,198857
Delitos cometidos por servidores públicos,184311
Falsificación,161205
Allanamiento de morada,134612
Violación simple,132475
Otros delitos contra la familia,121565
Otros delitos contra el patrimonio,115893
Otros delitos que atentan contra la vida y la integridad corporal,91663
Otros delitos que atentan contra la libertad y la seguridad sexual,83423
Extorsión,81053
Acoso sexual,60167
Otros delitos contra la sociedad,58872
Violación equiparada,44914
Violencia de género en todas sus modalidades distinta a la violencia familiar,37895
Falsedad,36826
Corrupción de menores,23348
Contra el medio ambiente,20053
Hostigamiento sexual,19238
Electorales,14248
Secuestro,8916
Feminicidio,8162
Aborto,6719
Trata de personas,5385
Rapto,1476
Evasión de presos,1134
Tráfico de menores,634
Incesto,197
