"Año","Tipo.de.delito","total_crimes"
2015,"Aborto",544
2015,"Abuso de confianza",20013
2015,"Abuso sexual",11980
2015,"Acoso sexual",1109
2015,"Allanamiento de morada",12326
2015,"Amenazas",68007
2015,"Contra el medio ambiente",1184
2015,"Corrupción de menores",1940
2015,"Daño a la propiedad",120246
2015,"Delitos cometidos por servidores públicos",11821
2015,"Despojo",21618
2015,"Electorales",738
2015,"Evasión de presos",119
2015,"Extorsión",6008
2015,"Falsedad",2568
2015,"Falsificación",14013
2015,"Feminicidio",413
2015,"Fraude",59416
2015,"Homicidio",31331
2015,"Hostigamiento sexual",784
2015,"Incesto",17
2015,"Incumplimiento de obligaciones de asistencia familiar",27894
2015,"Lesiones",207116
2015,"Narcomenudeo",32398
2015,"Otros delitos contra el patrimonio",3813
2015,"Otros delitos contra la familia",8561
2015,"Otros delitos contra la sociedad",2546
2015,"Otros delitos del Fuero Común",173845
2015,"Otros delitos que atentan contra la libertad personal",11236
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual",4899
2015,"Otros delitos que atentan contra la vida y la integridad corporal",3122
2015,"Rapto",271
2015,"Robo",652647
2015,"Secuestro",1062
2015,"Trata de personas",415
2015,"Tráfico de menores",96
2015,"Violación equiparada",2081
2015,"Violación simple",10538
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar",1645
2015,"Violencia familiar",127424
2016,"Aborto",562
2016,"Abuso de confianza",20796
2016,"Abuso sexual",15108
2016,"Acoso sexual",1325
2016,"Allanamiento de morada",13332
2016,"Amenazas",76294
2016,"Contra el medio ambiente",1449
2016,"Corrupción de menores",1873
2016,"Daño a la propiedad",123083
2016,"Delitos cometidos por servidores públicos",13491
2016,"Despojo",21806
2016,"Electorales",473
2016,"Evasión de presos",153
2016,"Extorsión",5739
2016,"Falsedad",2775
2016,"Falsificación",15099
2016,"Feminicidio",608
2016,"Fraude",60290
2016,"Homicidio",35410
2016,"Hostigamiento sexual",930
2016,"Incesto",73
2016,"Incumplimiento de obligaciones de asistencia familiar",25597
2016,"Lesiones",197484
2016,"Narcomenudeo",30032
2016,"Otros delitos contra el patrimonio",6556
2016,"Otros delitos contra la familia",10753
2016,"Otros delitos contra la sociedad",3225
2016,"Otros delitos del Fuero Común",196888
2016,"Otros delitos que atentan contra la libertad personal",13037
2016,"Otros delitos que atentan contra la libertad y la seguridad sexual",4293
2016,"Otros delitos que atentan contra la vida y la integridad corporal",3915
2016,"Rapto",254
2016,"Robo",690048
2016,"Secuestro",1128
2016,"Trata de personas",383
