id_estado,estado,id_mun,pob_tot,clave_mun,municipio,delitos_tot,crime_rate_per_100k
1.0,Aguascalientes,1.0,948990.0,01001,Aguascalientes,31668,3337.0214649258683
1.0,Aguascalientes,2.0,51536.0,01002,Asientos,763,1480.5184725240608
1.0,Aguascalientes,3.0,58250.0,01003,Calvillo,938,1610.3004291845493
1.0,Aguascalientes,4.0,17000.0,01004,Cosío,374,2200.0
1.0,Aguascalientes,5.0,129929.0,01005,Jesús María,4181,3217.911320798282
1.0,Aguascalientes,6.0,47646.0,01006,Pabellón de Arteaga,1267,2659.19489568904
1.0,Aguascalientes,7.0,57369.0,01007,Rincón de Romos,1137,1981.906604612247
1.0,Aguascalientes,8.0,9552.0,01008,San José de Gracia,239,2502.0938023450585
1.0,Aguascalientes,9.0,22485.0,01009,Tepezalá,332,1476.5399154992217
1.0,Aguascalientes,10.0,20853.0,01010,El Llano,448,2148.3719368915745
1.0,Aguascalientes,11.0,61997.0,01011,San Francisco de los Romo,1642,2648.515250737939
2.0,Baja California,1.0,443807.0,02001,Ensenada,15264,3439.3328631589857
2.0,Baja California,2.0,1049792.0,02002,Mexicali,34550,3291.1281472901296
2.0,Baja California,3.0,108440.0,02003,Tecate,3424,3157.50645518259
2.0,Baja California,4.0,1922523.0,02004,Tijuana,46709,2429.5678127127735
2.0,Baja California,5.0,126890.0,02005,Playas de Rosarito,4373,3446.2920639924346
2.0,Baja California,6.0,117568.0,02006,San Quintín,2151,1829.5794774088185
3.0,Baja California Sur,1.0,73021.0,03001,Comondú,1481,2028.1836731899043
3.0,Baja California Sur,2.0,64022.0,03002,Mulegé,1296,2024.3041454500017
3.0,Baja California Sur,3.0,292241.0,03003,La Paz,10339,3537.833500432862
3.0,Baja California Sur,8.0,351111.0,03008,Los Cabos,11410,3249.6845726849915
3.0,Baja California Sur,9.0,18052.0,03009,Loreto,474,2625.7478395745625
4.0,Campeche,1.0,59232.0,04001,Calkiní,231,389.99189627228526
4.0,Campeche,2.0,294077.0,04002,Campeche,5044,1715.1970402309598
4.0,Campeche,3.0,248845.0,04003,Carmen,3678,1478.028491631337
4.0,Campeche,4.0,78170.0,04004,Champotón,1055,1349.6226173723935
4.0,Campeche,5.0,31917.0,04005,Hecelchakán,305,955.603596829276
4.0,Campeche,6.0,42140.0,04006,Hopelchén,369,875.6525866160417
4.0,Campeche,7.0,8683.0,04007,Palizada,72,829.2064954508811
4.0,Campeche,8.0,11452.0,04008,Tenabo,101,881.9420188613343
4.0,Campeche,9.0,59923.0,04009,Escárcega,671,1119.7703719773708
4.0,Campeche,10.0,31714.0,04010,Calakmul,134,422.52632906602764
4.0,Campeche,11.0,46913.0,04011,Candelaria,275,586.1914607891202
4.0,Campeche,12.0,15297.0,04012,Seybaplaya,297,1941.5571680721712
5.0,Coahuila de Zaragoza,1.0,1022.0,05001,Abasolo,15,1467.7103718199608
5.0,Coahuila de Zaragoza,2.0,163058.0,05002,Acuña,4435,2719.8910817009896
5.0,Coahuila de Zaragoza,3.0,23056.0,05003,Allende,632,2741.151977793199
5.0,Coahuila de Zaragoza,4.0,29578.0,05004,Arteaga,672,2271.958888362972
5.0,Coahuila de Zaragoza,5.0,1643.0,05005,Candela,50,3043.2136335970786
5.0,Coahuila de Zaragoza,6.0,29128.0,05006,Castaños,492,1689.0964020873387
5.0,Coahuila de Zaragoza,7.0,12715.0,05007,Cuatro Ciénegas,287,2257.1765631144317
5.0,Coahuila de Zaragoza,8.0,3047.0,05008,Escobedo,51,1673.777486051854
5.0,Coahuila de Zaragoza,9.0,59035.0,05009,Francisco I. Madero,1055,1787.0754637079697
5.0,Coahuila de Zaragoza,10.0,82409.0,05010,Frontera,1286,1560.5091676879954
5.0,Coahuila de Zaragoza,11.0,11898.0,05011,General Cepeda,168,1412.0020171457386
5.0,Coahuila de Zaragoza,12.0,1643.0,05012,Guerrero,16,973.8283627510651
5.0,Coahuila de Zaragoza,13.0,1735.0,05013,Hidalgo,2,115.27377521613833
5.0,Coahuila de Zaragoza,14.0,9502.0,05014,Jiménez,126,1326.0366238686593
5.0,Coahuila de Zaragoza,15.0,1584.0,05015,Juárez,18,1136.3636363636365
5.0,Coahuila de Zaragoza,16.0,1764.0,05016,Lamadrid,31,1757.3696145124718
5.0,Coahuila de Zaragoza,17.0,118337.0,05017,Matamoros,2466,2083.8790910704174
5.0,Coahuila de Zaragoza,18.0,237951.0,05018,Monclova,4358,1831.4695042256599
5.0,Coahuila de Zaragoza,19.0,7928.0,05019,Morelos,158,1992.936427850656
5.0,Coahuila de Zaragoza,20.0,71627.0,05020,Múzquiz,1620,2261.7169503120335
5.0,Coahuila de Zaragoza,21.0,6539.0,05021,Nadadores,99,1513.9929652852118
5.0,Coahuila de Zaragoza,22.0,33129.0,05022,Nava,604,1823.1760693048386
5.0,Coahuila de Zaragoza,23.0,9642.0,05023,Ocampo,84,871.1885500933417
5.0,Coahuila de Zaragoza,24.0,44472.0,05024,Parras,967,2174.401870840079
