year,type_of_crime,is_high_impact,total,predicted_total
2015,Theft with violence,1,214523,261054.4545454532
2016,Theft with violence,1,195439,253897.04242424108
2017,Theft with violence,1,283544,246739.63030302897
2018,Theft with violence,1,305278,239582.21818181686
2019,Theft with violence,1,288044,232424.80606060475
2020,Theft with violence,1,226911,225267.39393939264
2021,Theft with violence,1,213941,218109.98181818053
2022,Theft with violence,1,201660,210952.56969696842
2023,Theft with violence,1,184859,203795.1575757563
2024,Theft with violence,1,174262,196637.7454545442
2015,Domestic violence,1,127424,132957.25454545766
2016,Domestic violence,1,154272,151154.30909091234
2017,Domestic violence,1,169579,169351.36363636702
2018,Domestic violence,1,180185,187548.4181818217
2019,Domestic violence,1,210189,205745.47272726893
2020,Domestic violence,1,220028,223942.52727272362
2021,Domestic violence,1,253740,242139.5818181783
2022,Domestic violence,1,270544,260336.63636363298
2023,Domestic violence,1,284203,278533.69090908766
2024,Domestic violence,1,278276,296730.74545454234
2015,Drug dealing,1,32398,32532.52727272734
2016,Drug dealing,1,30032,40063.1212121211
2017,Drug dealing,1,45181,47593.71515151486
2018,Drug dealing,1,58588,55124.30909090862
2019,Drug dealing,1,70274,62654.903030302376
2020,Drug dealing,1,76741,70185.49696969613
2021,Drug dealing,1,82275,77716.0909090899
2022,Drug dealing,1,86386,85246.68484848365
2023,Drug dealing,1,90071,92777.27878787927
2024,Drug dealing,1,92256,100307.87272727303
2015,Homicide,1,31331,36981.34545454569
2016,Homicide,1,35410,37935.29090909101
2017,Homicide,1,41323,38889.23636363656
2018,Homicide,1,44482,39843.181818182115
2019,Homicide,1,44876,40797.12727272743
2020,Homicide,1,43276,41751.072727272986
2021,Homicide,1,43976,42705.018181818305
2022,Homicide,1,42888,43658.96363636386
2023,Homicide,1,42034,44612.909090909176
2024,Homicide,1,43145,45566.85454545473
2015,Sexual crimes,1,26492,23328.090909089893
2016,Sexual crimes,1,30912,29172.11515151523
2017,Sexual crimes,1,32171,35016.139393938705
2018,Sexual crimes,1,38185,40860.16363636404
2019,Sexual crimes,1,47085,46704.18787878752
2020,Sexual crimes,1,46269,52548.21212121099
2021,Sexual crimes,1,58044,58392.23636363633
2022,Sexual crimes,1,70218,64236.260606059805
2023,Sexual crimes,1,75947,70080.28484848514
2024,Sexual crimes,1,70939,75924.30909090862
2015,Extortion,1,6008,5464.727272727294
2016,Extortion,1,5739,6051.521212121239
2017,Extortion,1,6143,6638.315151515184
2018,Extortion,1,6721,7225.109090909129
2019,Extortion,1,8734,7811.903030303074
2020,Extortion,1,7960,8398.696969697019
2021,Extortion,1,8828,8985.490909090964
2022,Extortion,1,10343,9572.28484848491
2023,Extortion,1,10337,10159.078787878854
2024,Extortion,1,10240,10745.8727272728
2015,Kidnapping,1,1062,1318.363636363647
2016,Kidnapping,1,1128,1223.5272727272823
2017,Kidnapping,1,1149,1128.6909090909176
2018,Kidnapping,1,1330,1033.8545454545529
2019,Kidnapping,1,1330,939.0181818181882
2020,Kidnapping,1,833,844.1818181818235
2021,Kidnapping,1,628,749.3454545454588
2022,Kidnapping,1,506,654.5090909090941
2023,Kidnapping,1,463,559.6727272727294
2024,Kidnapping,1,487,464.8363636363647
2015,Feminicide,1,413,637.1272727272735
2016,Feminicide,1,608,676.921212121204
2017,Feminicide,1,745,716.715151515149
2018,Feminicide,1,903,756.5090909090941
2019,Feminicide,1,947,796.3030303030246
2020,Feminicide,1,947,836.0969696969696
2021,Feminicide,1,984,875.8909090909001
2022,Feminicide,1,963,915.6848484848451
2023,Feminicide,1,831,955.4787878787902
2024,Feminicide,1,821,995.2727272727207
