year,state,insecurity_percentage
2025,Estados Unidos Mexicanos,75.5560505901199
2025,Aguascalientes,48.9684095731006
2025,Baja California,72.615670427619
2025,Baja California Sur,37.3875372894853
2025,Campeche,68.9226218573853
2025,Coahuila de Zaragoza,37.721320139459
2025,Colima,81.1712745126691
2025,Chiapas,74.0316030777484
2025,Chihuahua,71.5187094794483
2025,Ciudad de México,75.5647214965888
2025,Durango,52.1701297389011
2025,Guanajuato,88.4859478768108
2025,Guerrero,81.2144866310554
2025,Hidalgo,65.5346162231729
2025,Jalisco,77.3630087300742
2025,México,87.7899888225844
2025,Michoacán de Ocampo,80.9498958833347
2025,Morelos,90.0867332057089
2025,Nayarit,54.1809660952644
2025,Nuevo León,67.7927421562645
2025,Oaxaca,70.8641427280692
2025,Puebla,78.1808242458938
2025,Querétaro,57.0773944932118
2025,Quintana Roo,80.3042087120758
2025,San Luis Potosí,76.2527022200052
2025,Sinaloa,80.5353111264979
2025,Sonora,71.1668649940502
2025,Tabasco,89.8305680752386
2025,Tamaulipas,77.4025252542223
2025,Tlaxcala,77.2690448657453
2025,Veracruz de Ignacio de la Llave,82.3698346152198
2025,Yucatán,39.5871727295462
2025,Zacatecas,87.3335320138609
2024,Estados Unidos Mexicanos,73.621540745404
2024,Aguascalientes,50.7939976271115
2024,Baja California,73.5383949512919
2024,Baja California Sur,30.1024366449095
2024,Campeche,63.1015592699781
2024,Coahuila de Zaragoza,37.5804171299516
2024,Colima,79.7121623951375
2024,Chiapas,77.5302651031727
2024,Chihuahua,67.720708104574
2024,Ciudad de México,76.1129091988951
2024,Durango,45.6820914394897
2024,Guanajuato,87.5224193969168
2024,Guerrero,80.9967249258871
2024,Hidalgo,62.0599765457779
2024,Jalisco,74.6027579045915
2024,México,87.2781026277921
2024,Michoacán de Ocampo,79.5700156123385
2024,Morelos,90.1111072128538
2024,Nayarit,43.5505286174793
2024,Nuevo León,72.8339584730486
2024,Oaxaca,68.5040190542903
2024,Puebla,75.7096166645364
2024,Querétaro,54.401970197508
2024,Quintana Roo,79.9174464854975
2024,San Luis Potosí,74.3694149787572
2024,Sinaloa,54.9279655639178
2024,Sonora,71.4752863287698
2024,Tabasco,84.8398519451953
2024,Tamaulipas,75.0993684048635
2024,Tlaxcala,63.3392061272491
2024,Veracruz de Ignacio de la Llave,79.3124564336383
2024,Yucatán,30.5695837630874
2024,Zacatecas,87.3514251756896
2023,Estados Unidos Mexicanos,74.6294656162844
2023,Aguascalientes,49.6585461663106
2023,Baja California,68.4989685289185
2023,Baja California Sur,33.3713771267944
2023,Campeche,61.6029613633693
2023,Coahuila de Zaragoza,44.1327504088904
2023,Colima,80.9099540678506
2023,Chiapas,68.0746994969655
2023,Chihuahua,78.1123345060118
2023,Ciudad de México,80.099689403603
2023,Durango,51.7052214093125
2023,Guanajuato,82.8856717395468
2023,Guerrero,76.6917204596245
2023,Hidalgo,62.9848684173109
2023,Jalisco,78.7258624141242
2023,México,88.0103730550043
2023,Michoacán de Ocampo,80.7694408556859
2023,Morelos,86.9682796411926
2023,Nayarit,46.2493900004436
2023,Nuevo León,67.0298694670745
2023,Oaxaca,74.4196933346956
2023,Puebla,78.3232830376088
2023,Querétaro,54.5046977813661
2023,Quintana Roo,78.1498882573388
2023,San Luis Potosí,76.5482130309311
2023,Sinaloa,62.4741649954989
2023,Sonora,76.1740619281431
2023,Tabasco,78.1723259830687
2023,Tamaulipas,74.902130847167
2023,Tlaxcala,62.3701261170183
2023,Veracruz de Ignacio de la Llave,81.3869297621976
2023,Yucatán,37.8087930512276
2023,Zacatecas,91.9306098388411
2022,Estados Unidos Mexicanos,75.913019042658
2022,Aguascalientes,54.2158035663419
2022,Baja California,76.1486562943552
2022,Baja California Sur,34.9116969966364
2022,Campeche,54.0926164755399
2022,Coahuila de Zaragoza,50.351069407406
2022,Colima,85.7563909884278
2022,Chiapas,72.6002971768202
2022,Chihuahua,71.5582370689801
2022,Ciudad de México,83.2289519182325
2022,Durango,56.0416783683699
2022,Guanajuato,87.3988083359203
2022,Guerrero,73.8826926991451
2022,Hidalgo,63.8058798844758
2022,Jalisco,79.0656306990288
2022,México,90.5664072092312
2022,Michoacán de Ocampo,83.1032955342909
2022,Morelos,86.7929760086745
2022,Nayarit,53.3530125768602
2022,Nuevo León,67.9086179823371
2022,Oaxaca,71.1671223567314
2022,Puebla,78.117632496726
2022,Querétaro,56.4096257264966
2022,Quintana Roo,78.2781642002518
2022,San Luis Potosí,74.9231211519379
2022,Sinaloa,57.1830024680169
2022,Sonora,79.6326449158403
2022,Tabasco,84.9645594473615
2022,Tamaulipas,78.0855218152154
2022,Tlaxcala,60.2431384091411
2022,Veracruz de Ignacio de la Llave,80.2142107446928
2022,Yucatán,30.588927487828
2022,Zacatecas,90.8527043739431
2021,Estados Unidos Mexicanos,75.6381924809902
2021,Aguascalientes,51.5455959922548
2021,Baja California,68.0701883366202
2021,Baja California Sur,34.3199146629409
2021,Campeche,53.2185125041584
2021,Coahuila de Zaragoza,53.3674087674392
2021,Colima,72.4809469243092
2021,Chiapas,66.652183157577
2021,Chihuahua,73.5825716314694
2021,Ciudad de México,85.2739310617481
2021,Durango,59.2545497332915
2021,Guanajuato,84.253767552509
2021,Guerrero,77.2996324245251
2021,Hidalgo,65.0449174263308
2021,Jalisco,76.022458780462
2021,México,91.3481118578575
2021,Michoacán de Ocampo,79.4769965815073
2021,Morelos,86.5834573656025
2021,Nayarit,52.1741591651267
2021,Nuevo León,61.233010767319
2021,Oaxaca,72.6282215272746
2021,Puebla,85.6214274913546
2021,Querétaro,57.6987805675017
2021,Quintana Roo,75.8037895826928
2021,San Luis Potosí,81.622316340025
2021,Sinaloa,60.2895519536467
2021,Sonora,76.5138102354513
