Stadium Name,Capacity,Latitude,Longitude
Murrayfield Stadium,67144,55.9424462384331,-3.24105627975486
Celtic Park,60411,55.84972,-4.20556
Hampden Park,51866,55.82583,-4.25194
Ibrox Stadium,50817,55.85306,-4.30917
Pittodrie Stadium,20866,57.15917,-2.08889
Easter Road,20421,55.96167,-3.16556
Tynecastle Park,19852,55.93917,-3.23222
Rugby Park,15003,55.60417,-4.50806
Tannadice Park,14223,56.47472,-2.96889
Fir Park,13677,55.78000,-3.98000
Dens Park,11775,56.47472,-2.97361
Cappielow Park,11589,55.94139,-4.72694
East End Park,11480,56.07528,-3.44194
McDiarmid Park,10696,56.40972,-3.47694
Somerset Park,10185,55.46944,-4.62000
Firhill Stadium,10102,55.88139,-4.26944
Excelsior Stadium,10101,55.85972,-3.95972
